"country_name","crisis_id","dataset_date","page_name","page_url","iso","region","continent","year","link_to_hdx"
"Afghanistan ","FL20140430AFG",2014-08-29,"Report: The Ab Barak landslide: past and future","http://www.unitar.org/unosat/node/44/2058","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-13,"Flood Waters Over Kulukh Tapah, Kunduz Province, Afghanistan","http://www.unitar.org/unosat/node/44/1992","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-08,"Update: Landslide in Ab Barek, Badakshan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1991","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-07,"Inundation Near Sar-E Pol, Sar-E Pol Province, Afghanistan","http://www.unitar.org/unosat/node/44/1990","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-07,"Flood Waters Over Khwaja Du Koh, Jawzjan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1989","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-06,"Estimated Rainfall Accumulation from 30 April to 06 May 2014, Afghanistan","http://www.unitar.org/unosat/node/44/1988","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-06,"UNOSAT LIVE Map: Floods and Landslide in Afghanistan","http://www.unitar.org/unosat/node/44/1987","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-04,"Landslide in Ab Barek, Badakshan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1986","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-02,"Inundation Near Sar-E Pol, Sar-E Pol Province, Afghanistan","http://www.unitar.org/unosat/node/44/1985","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-01,"Flood Waters and Inundation Near Khwaja Du Koh, Jawzjan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1983","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-01,"Flood Waters Over Khwaja Du Koh, Jawzjan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1981","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-01,"Estimated Rainfall Accumulation from 25 to 29 April 2014, Afghanistan","http://www.unitar.org/unosat/node/44/1980","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
"Afghanistan ","FL20140430AFG",2014-05-01,"Flooding and IDPs in Kwanjanduko, Jowzjan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1979","AFG","Southern Asia","Asia",2014,"https://data.hdx.rwlabs.org/dataset?organization=un-operational-satellite-appplications-programme-unosat&groups=afg"
